authors,first_name,last_name,title,description,rating,review,status,began_date,completed_date,tags,notes,groups,copies,added_date,publisher,publish_date,pages,asin,isbn10,isbn13
"Thomas Pynchon",Thomas,Pynchon,"Mason & Dixon","Charles Mason (1728 -1786) and Jeremiah Dixon (1733-1779) were the British Surveyors best remembered for running the boundary between Pennsylvania and Maryland that we know today as the Mason-Dixon Line. Here is their story as re-imagined by Thomas Pynchon, in an updated eighteenth-century novel featuring Native Americans and frontier folk, ripped bodices, naval warfare, conspiracies erotic and political and major caffeine abuse. We follow the mismatch'd pair - one rollicking, the other depressive; one Gothic, the other pre-Romantic - from their first journey together to the Cape of Good Hope, to pre-Revoluntionary America and back, through the stange yet redemptive turns of fortune in their later lives, on a grand tour of the Enlightenment's dark hemisphere, as they observe and participate in the many opportunities for insanity presented them by the Age of Reason.",,,,,,,,,,2016-01-06,"Random House",1998-01-01,773,,0099771918,9780099771913
"Marc Hillefeld,Compact Redaktion",Marc,Hillefeld,"Lernziel Spanisch: Die Spur des schwarzen Reiters. Das spannende Sprachtraining",,,,,,,,,,,2016-01-06,Compact,2003-08-01,144,3817474148,3817474148,9783817474141
"Roger Sterling",Roger,Sterling,"Sterling's Gold","Presents aphorisms and memorable lines spoken by Roger Sterling, a fictional character on the television series, ""Mad Men.""",,,,,,,,,,2016-01-06,"Grove Press",2010-01-01,171,,0802119891,9780802119896
"William Sutcliffe",William,Sutcliffe,"Meine Freundin, der Guru und Ich","Sie versucht, sich selbst zu finden - und er will nur mit ihr ins Bett ...

Dave hat ein Jahr Zeit, bevor er sich an der Uni einschreiben muss. Was tun? Die schöne Liz, der er gerne näher (sehr nahe!) kommen möchte, will als Rucksack-Reisende nach Indien. Okay, denkt sich Dave, und findet sich kurze Zeit später in einem fiesen Hotel in Delhi wieder - allerdings in einem Einzelbett. Und als ob das nicht schon schlimm genug wäre, stößt er auch noch auf eine Horde Karm-Freaks ...",,,,,,,,,,2016-01-06,"Droemer Knaur",1999-01-01,314,3426612747,3426612747,9783426612743
"Sven Lager",Sven,Lager,"Phosphor: Roman","1 X ACHTSAM GELESEN, SEHR GUTER ZUSTAND, FAST WIE NEU. TASCHENBUCHAUSGABE. AUSGABE VON 2000. EINBAND MINIMAL BERIEBEN, WENIGE LESEKNICKE IM RÜCKEN, BESITZERNAME AUF DEM VORSATZ. ANSONSTEN EIN SCHÖNES GUTES EXEMPLAR. NICHTRAUCHERHAUSHALT. SOFORT-VERSAND IN LUFTPOLSTERUMSCHLAG.",,,,,,,,,,2016-01-06,"Kiepenheuer & Witsch",2000-02-01,224,3462029061,3462029061,9783462029062
"David Baddiel",David,Baddiel,"Ab ins Bett!","Schnittkante nachgedunkelt, Namenseintrag",,,,,,,,,,2016-01-06,"Rowohlt Tb.",1999-01-01,377,3499224194,3499224194,9783499224195
"Urs Widmer",Urs,Widmer,"Der Geliebte der Mutter: Roman"," Als Clara, ein Mädchen aus reichem Hause, den jungen Edwin kennen lernt, ist er arm wie eine Kirchenmaus und hat nur eines im Kopf: Musik, moderne Musik von Komponisten, die in den 20er-Jahren noch kein Mensch kennt. Sie arbeitet für ihn und liebt ihn mit der gleichen Hingabe wie er seine Musik. Er ahnt nichts von dieser Liebe, heiratet eine andere, wird berühmt. Claras Leben hingegen zerbricht, ihre Liebe zu Edwin wird zur stummen Besessenheit, von der nie jemand etwas erfährt.  Urs Widmer wurde 1938 in Basel geboren und arbeitet seit 1968 als freier Autor. Seine Romane gewannen zahlreiche Preise, für das Stück Top Dogs bekam Widmer 1997 den Mühlheimer Dramatikerpreis sowie den 3Sat-Innovationspreis. Außerdem wurde er in der Kritiker-Umfrage der Fachzeitschrift Theater Heute zum Dramatiker des Jahres 1997 gewählt. Der Geliebte der Mutter ist die Lebensgeschichte einer Frau, die nach ihrem Tod von ihrem Sohn aufgezeichnet wurde. Das Buch führt in eine Welt voller Gefühle und unerwiderter Leidenschaft, in der der Schmerz der Mutter jedoch nie pathetisch dargestellt wird. Vielleicht liegt es an der Distanz, in der ihr Leiden geschildert wird, vielleicht ist es aber auch die Unerschrockenheit mit der die Mutter ihr Leben führt, ihre emotionale Kraft, die selbst ihr ""ich kann nicht mehr"" zu einem Ausdruck der Selbstbehauptung macht. Urs Widmer wird zu Recht in einem Atemzug mit Max Frisch und Friedrich Dürrenmatt genannt. Seine Sprache ist leicht und weiß doch um die Abgründe menschlichen Daseins. Sein Sprachwitz und seine gelassene Heiterkeit machen Der Geliebte der Mutter zu einem Werk, in dem auch zerstörerischen Gefühlen der nötige Respekt gezollt wird. --Bettina Wenzel",,,,,,,,,,2016-01-06,"Diogenes Verlag",2003-03-01,144,3257233477,3257233477,9783257233476
"Donna Leon",Donna,Leon,"Venezianisches Finale: Commissario Brunettis erster Fall","Anschlusstechnik:Verkabelt, Frequenzgang:20 - 20000 Hz, Impedanz:32 Ohm, Membran:50 mm, Soundmodus:Stereo, Kopfhörer-Formfaktor:Volle Größe, Lautstärkeregelung im Kabel:Ja, Empfindlichkeit:111 dB, Empfindlichkeit:-58 dB, Anschlusstyp:Headset ( Mini-Phone Stereo 3,5 mm ), Zubehör im Lieferumfang:Headset-Haken, Enthaltene Kabel:Headset-Kabel - 2 m",,,,,,,,,,2016-01-06,Diogenes,1995-05-01,352,3257227809,3257227809,9783257227802
"Henrike Heiland",Henrike,Heiland,"Zum Töten nah. Kriminalroman",,,,,,,,,,,2016-01-06,"Bastei Lübbe",2007-01-09,367,3404156293,3404156293,9783404156290
"Stefan Zweig",Stefan,Zweig,Schachnovelle,"OA 1941 Form Novelle Epoche Moderne
Die Schachnovelle bildet den Höhepunkt von Stefan Zweigs Novellenkunst. Die perfekt gebaute, spannende und psychologisch überzeugende Erzählung kulminiert in der Konfrontation von zwei Meistern des Schachspiels, die unterschiedlicher nicht sein könnten.
Entstehung: Die Novelle entstand 1941 in Petropolis, Zweigs brasilianischem Exil, und spiegelt in den Erlebnissen des Dr. B. die nationalsozialistische Schreckensherrschaft wider, vor welcher der Autor aus Europa geflohen war.
Inhalt: Auf einer Schiffsreise von New York nach Buenos Aires kommt der Ich-Erzähler dem arroganten Schachweltmeister Mirko Czentovic erst nahe, als sich dieser bereit erklärt, gegen alle Hobbyspieler gemeinsam eine Partie zu spielen. Als diese schon verloren scheint, greift ein Dr. B. in das Spiel ein und holt gegen Czentovic noch ein Remis heraus. Durch Dr. B.s seltsames Spielfieber neugierig gemacht, will der Ich-Erzähler mehr von ihm erfahren. Daraufhin berichtet ihm Dr. B. von seiner monatelangen Einzelhaft im Wiener Gestapo-Gefängnis, wo er dem Irrewerden nur dadurch entkam, dass er aus einem entwendeten Schachbuch Meisterpartien nachspielte. Als er danach begann, gegen sich selbst zu spielen, erlitt er eine Art »Schachvergiftung«, die in an den Rand des Wahnsinns brachte, aber auch seine Entlassung aus dem Gefängnis zur Folge hatte. Das Spiel gegen Czentovic war Dr. B.s erste Partie seither. Das zweite Spiel, das er allein gegen den Weltmeister spielt, gewinnt er souverän. Bei der Revanche zeigen sich allerdings wieder alle Symptome der »Schachvergiftung«, woraufhin Dr. B. das Spiel abbricht und keine Schachfiguren mehr anrühren will.",,,,,,,,,,2016-01-06,"FISCHER Taschenbuch",1974-04-01,112,3596215226,3596215226,9783596215225
"Maxim Biller",Maxim,Biller,Deutschbuch,,,,,,,,,,,2016-01-06,"Deutscher Taschenbuch Verlag",2001-06-01,336,3423128860,3423128860,9783423128865
"Else Buschheuer",Else,Buschheuer,"Else Buschheuer: Ruf! Mich! an!","Ruf mich an",,,,,,,,,,2016-01-06,"Wilhelm Heyne Verlag München",2001-01-01,206,B006O1NDKS,3453190041,9783453190047
"Manuel Vázquez Montalbán",Manuel,Montalbán,"Marcos. Herr der Spiegel. (WAT)","2001 Kt. Chiapas / Aufstand Marcos, Subcomandante; Interview [diverse Themengebiete ]",,,,,,,,,,2016-01-06,"Wagenbach, K",2001-10-01,240,3803124220,3803124220,9783803124227
"Peter Hoeg",Peter,Hoeg,"Fräulein Smillas Gespür für Schnee","[Peter Hoeg: Fräulein Smillas Gespür für Schnee Taschenbuch (Akzeptabel) Rowohlt 1997 711 bis 780 Tausend]",,,,,,,,,,2016-01-06,Rowohlt,,516,349913599X,349913599X,9783499135996
"Pentti Kirstilä",Pentti,Kirstilä,Nachtschatten,,,,,,,,,,,2016-01-06,GRAFIT,2005-10-01,256,389425548X,389425548X,9783894255480
,,,"Wenn du wüsstest : e. Meisterwerk d. subtilen Grauens.",,,,,,,,,,,2016-01-06,,1986-01-01,,B002DUXAT8,3811823884,9783811823884
"Zoe Beck,Andrea Maria Schenkel,Iny Lorentz,Henrike Heiland,Friedrich Ani,Carsten Sebastian Henn,Heidi Rehn,Jörg Juretzka",Zoe,Beck,"München blutrot: 16 Autoren. 39 Tote. Eine Stadt.",,,,,,,,,,,2016-01-06,"Kölnisch-Preußische Lektoratsanstalt",2009-10-01,245,3940610070,3940610070,9783940610072
"Matt Ruff",Matt,Ruff,"Fool on the Hill",,,,,,,,,,,2016-01-06,Dtv,,0,3423117370,3423117370,9783423117371
"Markus Seidel",Markus,Seidel,Freischwimmer,"Literatur in Leseausgaben S - Z - 8vo. Original-Broschur. 231 S",,,,,,,,,,2016-01-06,"Droemer Knaur",2000-01-01,,3426615118,3426615118,9783426615119
"Robert Hültner",Robert,Hültner,"Walching: Roman (Inspektor Kajetan, Band 2)",,,,,,,,,,,2016-01-06,"btb Verlag",1997-10-01,192,3442721415,3442721415,9783442721412
"Corinne Maier",Corinne,Maier,"Die Entdeckung der Faulheit: Von der Kunst, bei der Arbeit möglichst wenig zu tun","Neuwertiges Buch aus Nachlass, Rauchfreier Haushalt und Staubfrei, 5.Auflage aus dem Jahre 2005, Isbn: 3442301130 Corinne Maier Die Entdeckung der Faulheit: Von der Kunst, bei der Arbeit möglichst wenig zu tun, Versand per Büchersendung von der Deutschen Post Luftgepolstert und in einem neuen Karton, Käufer/in haben das Recht den Artikel innerhalb 14 Tage zurückgegeben und tragen dabei die Versandkosten, Kein Versand an Packstationen, Lagerhalterungsnummer K.15*",,,,,,,,,,2016-01-06,"Goldmann Verlag (HC)",2005-03-17,160,3442301130,3442301130,9783442301133
"Henrike Heiland",Henrike,Heiland,"Späte Rache: Kriminalroman (Allgemeine Reihe. Bastei Lübbe Taschenbücher)",,,,,,,,,,,2016-01-06,"Bastei Lübbe (Bastei Lübbe Taschenbuch)",2006-05-16,304,340415505X,340415505X,9783404155057
"Michael Tolkin",Michael,Tolkin,"Player, The","ISBN: 3442420644, Roman, broschiert, Goldmann-verlag 1992, 254 Seiten, Kanten etwas bestossen, innen guter Zustand, Papier altersbedingt etwas nachgedunkelt, als Remittende gezeichnet",,,,,,,,,,2016-01-06,"Goldmann Wilhelm GmbH",1996-07-01,254,3442420644,3442420644,9783442420643
"Stephen King",Stephen,King,"Jahreszeiten, Frühling und Sommer",,,,,,,,,,,2016-01-06,"Bastei Lübbe",1992-02-01,,3404131150,3404131150,9783404131150
"Thomas Grasberger",Thomas,Grasberger,"Gebrauchsanweisung für München","Gebrauchsanweisung für München.",,,,,,,,,,2016-01-06,"Piper Taschenbuch",2002-08-01,224,349227501X,349227501X,9783492275019
"Herman Brusselmans",Herman,Brusselmans,"Generation Nix oder Zigarettenasche im Gefrierfach"," Es wird wohl Markstrategie gewesen sein, warum dieser Roman des Belgiers im Deutschen das ach so abgedroschene Wort Generation im Titel trägt -­ das Original dieses schon 1995 erschienenen Romans heißt schlicht und einfach Frauen mit IQ.  Von Nichts handelt der Roman weniger als von Frauen mit IQ, und das wiederum mag für den Zynismus von Herman Brusselmans sprechen. Vielleicht heißt deshalb auch der Held des Buches so wie er. Denn jener Herman Brusselmans, der hier aus seinem Leben erzählt, ist eigentlich Berufszyniker, obwohl er seine Gin-Tonics als Schlagzeuger einer erfolgreichen Popband mit dem pynchonesken Namen Foaming Vomit verdient.  Nicht, daß Generation Nix deswegen ein Buch über das Lebensgefühl einer Band Mitte der 90er Jahre wäre. Nein, die Band interessiert Herman genausowenig wie die Musik. Die Aufnahmen machen sowieso viel bessere Studiomusiker. Er und die Bandkumpels sind nur Kleiderständer mit Instrumenten, die Klamotten kommen von einem Designerlabel.  Viel lieber als in der Studiobar sitzt Herman mit schönen Frauen in teuren Cafés und erzählt ihnen, daß Ägypten eine Insel sei und und der Mensch bei 180 Grad schmilzt. Die Mädchen heißen Ilse oder Eva, kriegen Geld von zu Hause, fahren alle Karmann Ghias und verbreiten diesen Schwachsinn als Allgemeinwissen.  Dann trifft Herman auf Judy. Die ist anders, ihr kann er sowas nicht erzählen. Prompt verliebt er sich und hat ein Problem: ""Auf der Suche nach einem neuen Gesprächsthema fällt mir auf, daß ich im Prinzip ­- verliebt oder nicht ­- sehr wenig zu sagen habe"".  Womit auch das Problem des wahren Brusselmans getroffen wäre. Die Kunst der ins Sprachlose führenden Dialoge, beherrscht er meisterlich. Doch auf Dauer wirken die Kombinationen der Storyelemente Band, Bar oder Herman Privat um das Thema des Aneinandervorbeiredens, des Mißverstehens, der enttäuschten Zweisamkeit ermüdend. Alles bleibt, wie es ist. Letztendlich fehlt es an Mut, dem Buch und seinem Erzähler: ""Ich unterbreche die Verbindung, starre ängstlich in die stille Leere und bleibe sitzen"". ­-Nikolaus Stemmer",,,,,,,,,,2016-01-06,"Ullstein Tb",1999-01-01,238,3548312209,3548312209,9783548312200
"Petra Hammesfahr",Petra,Hammesfahr,"Das Geheimnis der Puppe","Etwas stärkere Gebrauchsspuren;",,,,,,,,,,2016-01-06,rororo,2000-11-01,320,349922884X,349922884X,9783499228841
"William Golding",William,Golding,"Das Feuer der Finsternis. Roman.",,,,,,,,,,,2016-01-06,"Goldmann Wilhelm GmbH",1993-01-01,319,3442092558,3442092558,9783442092550
"Norbert Horst",Norbert,Horst,Todesmuster,"Horst, Norbert: Todesmuster. Roman. 3. Auflage. München, Goldmann 2005. Kl. 8°. 285 Seiten. Kartoniert mit farbiger Einbandzeichnung. Sehr gut erhalten. (= Goldmann ; Band 45912 =)",,,,,,,,,,2016-01-06,Goldmann,2005-07-01,285,3442459125,3442459125,9783442459124
"Stephen King",Stephen,King,"Jahreszeiten. Herbst und Winter.","Jahreszeiten Herbst und Winter, Stephen King, Taschenbuch",,,,,,,,,,2016-01-06,"Luebbe Verlagsgruppe",1991-11-01,,3404131142,3404131142,9783404131143
,,,"Tatort Bayern: Kriminalstorys",""" Fünfundzwanzig Autorinnen und Autoren ziehen eine Blutspur durch Bayern - von wegen weiß-blaue Bierzelt-Seligkeit.""
"" Hier haben sich endlich kriminell gute Autoren zusammengetan, die das Idyll auf den Prüfstand stellen und herausfinden, dass gerade das Isyll die Mutter allen Verbrechens ist : Bad Tölz ist überall! "" (Aus dem Vorwort von Ottfried Fischer)",,,,,,,,,,2016-01-06,GRAFIT,2005-04-01,252,3894252995,3894252995,9783894252991
"Regina Kaiser,Uwe Karlstedt",Regina,Kaiser,"Zwölf heißt: Ich liebe Dich: Der Stasi-Offizier und die Dissidentin","Ostberlin, 1981: Wegen angeblicher Westkontakte wird Regina Kaiser von dem jungen Stasi-Offizier Uwe Karlstedt vernommen. Doch als sich die »Staatsfeindin« und ihr Vernehmer gegenüber stehen, geschieht das Unwahrscheinliche: Sie verlieben sich ineinander - eine Liebe, die sie sich erst Monate später eingestehen, heimlich, mit wenigen Worten und mittels eines Zahlencodes, den Regina im Gefängnis erfunden hat: 11 heißt »Du bist schön«, 12 »Ich liebe Dich«. Nach zweijähriger Haft kann sich Regina in den Westen freikaufen. Erst nach der Wende, im Jahr 1997, spürt sie ihren Vernehmer von damals wieder auf. Und erneut geschieht das Unwahrscheinliche ..",,,,,,,,,,2016-01-06,"Knaur TB",2004-12-01,304,3426777495,3426777495,9783426777497
unbekannt,unbekannt,unbekannt,"Glausers Erben - Kurzkrimis",,,,,,,,,,,2016-01-06,"Jokers in der Verlagsgruppe Welbild GmbH,",2007-01-01,95,B00IKI5RHK,,4026411350875
"Rainald Goetz",Rainald,Goetz,"Dekonspiratione: Erzählung",,,,,,,,,,,2016-01-06,"Suhrkamp Verlag",2000-02-27,206,3518411225,3518411225,9783518411223
"Fran Dorf",Fran,Dorf,"Die Totdenkerin",.,,,,,,,,,,2016-01-06,Dtv,1994-01-01,392,342311858X,342311858X,9783423118583
